en	phonetic	cn	example	exampleCn	synonym	root
insure	/ɪnˈʃʊr/	vt. 为…投保； 确保	Have you insured the contents of your home?	你给家庭财产投保了吗？	同义：undertake, assure, to ensure, snake stare	同根：insured 已投保的；insurable 可保险的，适合保险的；insurance 保险；保险费；保险契约；赔偿金
powder	/ˈpaʊdɚ/	n. 粉， 粉末	curry powder	咖喱粉	同义：dust, dirt, pulverize	同根：powdered 变成粉末的；涂粉的；powdery 粉的；粉状的；布满粉状物的；powdered 使成粉末（powder的过去分词）；撒粉；搽粉
membership	/ˈmɛmbɚʃɪp/	n. 会员身份， 会籍； 全体会员， 会员数	You should carry your membership card with you at all times.	你应该随身携带会员卡。	同义：qualification, capacity	同根：member 成员；会员；议员
platform	/ˈplætˈfɔrm/	n. 平台， 站台， 讲台； 纲领， 宣言	The Edinburgh train will depart from platform six.	开往爱丁堡的火车将从六号站台发车。	同义：flatform, hathpace	
network	/ˈnɛtwɝk/	n. 网状物； 广播网， 电视网； 网络	Hungary’s telephone network	匈牙利的电话网	同义：net, meshwork	同根：netted 网状的；用网捕获的；netlike 网状的；netted 赚，得到（net的过去分词）
jealous	/ˈdʒɛləs/	adj. 妒忌的， 猜疑的； 精心守护的	a country jealous of its heritage	珍惜其传统的国家	同义：leary, leery	同根：jealously 妒忌地；猜疑地；jealousy 嫉妒；猜忌；戒备
rust	/rʌst/	v. 生锈， 氧化 n. 铁锈	The metal had begun to rust.	金属开始生锈。	同义：patination, eat, cauterize, dull	同根：rusty 生锈的，腐蚀的；铁锈色的，锈色的；迟钝的；rusted 锈的；rusting 生锈的
trace	/tres/	n. 痕迹；丝毫，少许 vt. 跟踪； 追溯； 描摹	There was no trace of anyone having entered the room since then.	没有任何迹象表明在那以后有人进过这房间。	同义：go back, carry up, represent, figure	同根：traceable 起源于；可追踪的；可描绘的；traced 示踪的；摹写的；tracing 追踪；追查；描摹；摹图；显迹
Negro	/ˈnigro/	n. 黑人	It meant that I, a humble Negro girl, had just as much chance as anybody in the sight and love of God.	这就意味着，我这样一个卑微的黑人女孩，也可以像其他人一样有很多机会受到上帝的关注和爱。		
modernization	/,mɑdɚnəˈzeʃən/	n. 现代化	We should all make contributions to the modernization of our country.	我们都应该对我国的现代化作出贡献。	同义：update, aggiornamento	同根：modern 现代的，近代的；时髦的；modernist 现代主义的；modernized 现代化的
grave	/ɡrev/	adj. 严重的； 严肃的 n. 坟墓	Matthew’s life is in grave danger .	马修的生命危在旦夕。	同义：important, serious, significant, great	同根：graven 不可磨灭的，铭记在心的；雕刻的；gravely 严重地；严肃地；严峻地；沉重地；gravity 重力，地心引力；严重性；庄严
criminology	/,krɪmɪˈnɑlədʒi/	n. 犯罪学， 刑事学	The relationship between victimology and criminology is a longstanding issue within the academic realm.	被害人学与犯罪学之间的关系问题是学界的一个宿疑。		同根：criminal 刑事的；犯罪的；罪恶的；criminological 犯罪学的；crime 罪行，犯罪；罪恶；犯罪活动
assistant	/əˈsɪstənt/	adj. 助理的， 辅助的 n. 助手，助理，助教	...the assistant secretary of defence.	…助理国防部长。	同义：friend, aid, mate, helper	同根：assisted 辅助的；assist 帮助；助攻；vi. 参加；出席；vt. 帮助；促进；assistance 援助，帮助；辅助设备
inn	/ɪn/	n. 小旅店， 小酒店	We’re staying at the Holiday Inn.	我们住在假日酒店。	同义：hotel, roadhouse	
instead	/ɪnˈstɛd/	adv. 作为替代； 却， 反而	Geoff didn’t study law. Instead, he decided to become an actor.	杰夫没学法律，相反，他决定当演员。		
controversy	/ˈkɑntrəvɝ​sɪ/	n. 争论， 辩论	a political controversy	政治争议	同义：combat, debate, dispute	同根：controversial 有争议的；有争论的；controversially 颇有争议地；引起争议地；controvert 争论；辩论
command	/kəˈmænd/	vt. 命令， 指挥， 控制	He commands the 4th Battalion.	他指挥第四营。	同义：order, control over, require, possess	同根：commanding 指挥的；居高临下的；威风凛凛的；commander 指挥官；司令官；commandment 戒律；法令
newsstand	/ˈnjʊz,stænd/	n. 报摊， 杂志摊	Eight new national newspapers have appeared on the newsstands since 1981.	自1981年以来，有八家全国性报纸已在报摊上有售。	同义：newspaper stand, news stall	同根：newsvendor 报纸经销人；书报摊贩
worthless	/ˈwərthləs/	adj. 无价值的， 无用的	The house was full of worthless junk.	这房子里堆满了没有用的东西。	同义：cheap, valueless	同根：worth 值…的；worthy 值得的；有价值的；配得上的，相称的；可尊敬的；应…的；worthful 有价值的；可贵的
performance	/pɚˈfɔrməns/	n. 演出； 执行， 完成； 工作情况， 表现； 工作性能	This evening’s performance will begin at 8.00 pm.	今晚的演出8点开始。	同义：property, capability, enforcement, execution	同根：performing 表演的；履行的；performing 表演（perform的ing形式）；履行；perform 执行，机器运转；表演
dessert	/dɪˈzɝt/	n. 甜食， 点心	She had homemade ice cream for dessert.	她吃了些自制冰淇淋当餐后甜点。		
ambassador	/æmˈbæsədɚ/	n. 大使， 使节， 派驻国际组织的代表	...the German ambassador to Poland.	…德国驻波兰大使。	同义：representation, deputy, behalf of	同根：ambassadorial 大使的；使节的；ambassadorship 大使的职位；ambassadress 大使夫人；女大使
anticipate	/ænˈtɪsəˈpet/	vt. 预料， 预期， 期望； 先于…行动； 提前使用	Sales are better than anticipated.	销量比预期要好。	同义：hope, presume upon	同根：anticipated 预期的；期望的；anticipatory 预期的；提早发生的；期待着的；anticipant 期望的
variable	/ˈvɛrɪəbl/	adj. 易变的 n. 变量	Expect variable cloudiness and fog tomorrow.	预计明天多云有雾，天气多变。	同义：mobile, liquid, unstable	同根：varied 多变的；各式各样的；杂色的；varying 不同的；变化的；variably 易变地；不定地
temple	/ˈtɛmpl/	n. 圣堂， 神殿， 庙宇			同义：vihara, fane	
growth	/ɡroθ/	n. 增长， 增长量； 生长， 生长物	measures to stimulate economic growth	刺激经济增长的措施	同义：development, making, advance, increase	同根：grown 长大的；成年的；长满某物的；growing 发展的；成长的；grower 栽培者；生长物
landscape	/ˈlændskep/	n. 风景，景色；风景画；全景 vt. 美化…的景观	the beauty of the New England landscape	新英格兰风光之美	同义：scenery, view, picture, prospect	同根：landscaping 景观美化；landscaper 庭园设计家；landscapist 风景画家
weave	/wiv/	v. 织， 编	hand-woven scarves	手织围巾	同义：pleach, complect, cloth, web	同根：woven 织物的；woven 机织织物；weaving 织动，编织
carrot	/ˈkærət/	n. 胡萝卜	grated carrots	磨碎的胡萝卜	同义：carota	同根：carroty 胡萝卜色的；红发的
normally	/ˈnɔrmli/	adv. 通常； 正常地	The journey normally takes about two hours.	这段旅程通常需要大约两小时。	同义：commonly, currently, generally	同根：normal 正常的；正规的，标准的；normotensive 血压正常的；normal 正常；标准；常态
exception	/ɪkˈsɛpʃən/	n. 例外， 除外	It’s been cold, but today’s an exception.	天气一直寒冷，但今天是个例外。	同义：dissention, demurral	同根：exceptional 异常的，例外的；exceptionable 可反对的；可抗议的；引起反感的；exceptionally 异常地；特殊地；例外地
vague	/veɡ/	adj. 模糊的， 含糊的	The governor gave only a vague outline of his tax plan.	州长只是含糊地大致说了一下他的税务计划。	同义：fuzzy, dark, uncertain	同根：vaguely 含糊地；暧昧地；茫然地；vagueness 模糊；含糊；暧昧；茫然
temporary	/ˈtempəreri/	adj. 暂时的， 临时的	temporary pain relief	疼痛的暂时缓解	同义：extraordinary, odd, interim, super	同根：temporal 暂时的；当时的；现世的；temporarily 临时地，临时；temporal 世间万物；暂存的事物
fare	/fɛr/	vi. 进展 n. 车费，船费，票价	It is unlikely that the marine industry will fare any better in September.	海运业不大可能在9月份有所好转。	同义：round, advance, passenger, food	
desperate	/ˈdɛspərət/	adj. 拼死的， 不顾一切的； 绝望的； 极需要的	I had no money left and was desperate.	我身无分文，已经走投无路了。	同义：venturous, devil-may-care	同根：desperately 拼命地；绝望地；极度地；desperation 绝望的境地；不顾一切拼命
leading	/ˈlidɪŋ/	adj. 指导的， 带头的； 最主要的； 饰演主角的	...a leading member of the city's Sikh community.	…该市锡克教团体的一名主要成员。	同义：primary, major, central, great	同根：lead 带头的；最重要的；leaded [冶] 加铅的；leaden 铅灰色的；铅制的；沉闷的；铅一般重的
awful	/ˈɔfl/	adj. 令人不愉快的， 难过的； 非常的， 极大的	An awful lot of people (=  a large number of people  ) died in the war.	很多很多的人在这场战争中死去。	同义：terrible, august, horrible, awesome	同根：awfully 可怕地；十分；非常；很；awfulness 威严；虔敬；可怕
accuracy	/ˈækjərəsi/	n. 准确， 精确	He passes the ball with unerring accuracy.	他传球准确无误。		同根：accurate 精确的；accurately 精确地，准确地
handy	/ˈhændi/	adj. 手边的， 便于使用的	It’s quite a handy little tool.	这件小工具非常有用。	同义：sharp, quick, smart, keen	同根：handed 有手的；用...手的；handless 无手的；笨手笨脚的；赤手空拳的；handily 方便地；敏捷地；灵巧地
urge	/ɝdʒ/	vt. 鼓励；推进，催促；竭力主张，强烈要求 n. 冲动， 强烈的欲望	The charity urged quick action.	慈善机构敦促迅速采取行动。	同义：crowd, rush up, impulse, driving force	同根：urgently 迫切地；紧急地；急切地；urgency 紧急；催促；紧急的事
resolution	/,rɛzəˈluʃən/	n. 正式决定， 决议； 决心， 决意； 解决， 解答； 分辨率， 清晰度	a resolution calling for a ban on dumping nuclear waste	要求禁止倾倒核废物的决议	同义：settlement, decision, determination, push	同根：resolute 坚决的；果断的；resolved 下定决心的；已解决的；断然的；resolvable 可分解的；可解决的；可溶解的
via	/ˈvaɪə, ˈviə/	prep. 经过， 通过	We flew to Athens via Paris.	我们经由巴黎飞往雅典。	同义：by way of, THRU through	
setting	/ˈsɛtɪŋ/	n. 环境， 背景， 布景； 调节， 设定的位置	I’ve worked with children in various settings, mainly in secondary school.	我在许多地方教过孩子，主要是在中学。	同义：context, circumstance, installation, arrangement	同根：setter [机] 调节器；作曲者；排字工人；安装员，从事安装的人
score	/skɔ/	v. 得， 给…打分； 画线于， 做记号于； 赢得 n. 得分，比数，成绩；二十	Great cheers went up when he scored in the final minute of the game.	当他在比赛的最后一分钟得分时，人群爆发出了雷鸣般的欢呼。	同义：marks, twenty, acquire, earn	同根：scoring 得分的；scoreless 没得分的；scoring 得分；刻痕；总谱
quote	/kwot/	vt. 引用，援引 n. 引文， 引语； 报价， 牌价； 引号	He quoted a short passage from the Bible.	他引用了《圣经》里的一小段。	同义：make offers, price quotation, reference, make offers	同根：quotable 可引用的；适于引用的；有引用价值的；quotation [贸易] 报价单；引用语；引证；quotability 引用价值
